"mgmt_river","cluster","pct_in_cluster","mean_iso","n_values"
"N. Fork Kusko",2,0.112359550561798,0.711451655655056,890
"E. Fork Kuskokwim",2,0.317460317460317,0.71122112255873,315
"Upper Kusko Main",4,0.0637348629700446,0.708359045355003,1569
"Big River",4,0.148588410104012,0.709397858884101,673
"Takotna and Nixon Fork",1,0.165562913907285,0.708353335779801,604
"Tatlawiksuk",4,0.323624595469256,0.709522855799353,309
"Swift",4,0.127226463104326,0.709331146477099,786
"Stony",3,0.0699790062981106,0.707629546270119,1429
"Holitna",1,0.0759878419452888,0.707598420959726,1316
"Hoholitna",1,0.0888888888888889,0.708104773604444,1125
"Middle Kusko Main",5,0.10351966873706,0.706845574609731,966
"George",1,0.29585798816568,0.7080398305,338
"Oskakawlik",5,0.671140939597315,0.706822392147651,149
"Holokuk",5,0.806451612903226,0.706310846830645,124
"Aniak",6,0.113765642775882,0.70612949765074,879
"Tuluksak",5,0.169779286926995,0.706728710132428,589
"Kisaralik",5,0.101522842639594,0.706320556080203,985
"Kwethluk",6,0.0966183574879227,0.705327970568116,1035
